symbol,total_quantity,avg_buy_price,current_price,unrealized_pnl,allocation_value
BTCUSDT,0.00017999999999999267,-127721.0967,0.0,22.9898,0.0
ETHUSDT,0.002600000000000005,-7529.8754,0.0,19.5777,0.0
XLMUSDT,1.0,2.1659,0.0,-2.1659,0.0
ZENUSDT,0.240000000000002,-210.115,0.0,50.4276,0.0
FTMUSDT,2.0,32.146,0.0,-64.2919,0.0
SOLUSDT,7.406000000000001,172.6795,0.0,-1278.8642,0.0
CHRUSDT,2.0,-9.36,0.0,18.72,0.0
GTCUSDT,0.10000000000000853,-57.308,0.0,5.7308,0.0
WLDUSDT,0.400000000000027,-4.2935,0.0,1.7174,0.0
VICUSDT,0.19000000000002615,27.8956,0.0,-5.3002,0.0
AXLUSDT,0.38999999999998636,69.5348,0.0,-27.1186,0.0
HMSTRUSDT,38.0,-0.016,0.0,0.6091,0.0
ACXUSDT,2.000000000000341,199.2389,0.0,-398.4778,0.0
