operateTime,totalServiceChargeAmount,totalTransferedAmount,transId,userAssetDribbletDetails,fromAsset,amount,transferedAmount,serviceChargeAmount,targetAsset
1726830945000,0.00002278,0.00113985,192586516898,"[{'fromAsset': 'ETH', 'amount': '0.000057', 'transferedAmount': '0.00025497', 'serviceChargeAmount': '0.00000509', 'operateTime': 1726830945000, 'transId': 192586516898, 'targetAsset': 'BNB'}, {'fromAsset': 'BTC', 'amount': '0.00000793', 'transferedAmount': '0.00088488', 'serviceChargeAmount': '0.00001769', 'operateTime': 1726830945000, 'transId': 192586516898, 'targetAsset': 'BNB'}]",ETH,0.000057,0.00025497,0.00000509,BNB
1726830945000,0.00002278,0.00113985,192586516898,"[{'fromAsset': 'ETH', 'amount': '0.000057', 'transferedAmount': '0.00025497', 'serviceChargeAmount': '0.00000509', 'operateTime': 1726830945000, 'transId': 192586516898, 'targetAsset': 'BNB'}, {'fromAsset': 'BTC', 'amount': '0.00000793', 'transferedAmount': '0.00088488', 'serviceChargeAmount': '0.00001769', 'operateTime': 1726830945000, 'transId': 192586516898, 'targetAsset': 'BNB'}]",BTC,0.00000793,0.00088488,0.00001769,BNB
1734115869000,0.00000401,0.00020063,223617792091,"[{'fromAsset': 'WLD', 'amount': '0.0472', 'transferedAmount': '0.00020063', 'serviceChargeAmount': '0.00000401', 'operateTime': 1734115869000, 'transId': 223617792091, 'targetAsset': 'BNB'}]",WLD,0.0472,0.00020063,0.00000401,BNB
1761022727000,0.00000353,0.00017728,313721188410,"[{'fromAsset': 'HOME', 'amount': '0.49304406', 'transferedAmount': '0.00001296', 'serviceChargeAmount': '0.00000025', 'operateTime': 1761022727000, 'transId': 313721188410, 'targetAsset': 'BNB'}, {'fromAsset': 'USDT', 'amount': '0.17452', 'transferedAmount': '0.00016418', 'serviceChargeAmount': '0.00000328', 'operateTime': 1761022727000, 'transId': 313721188410, 'targetAsset': 'BNB'}, {'fromAsset': 'USDC', 'amount': '0.00015465', 'transferedAmount': '0.00000014', 'serviceChargeAmount': '0', 'operateTime': 1761022727000, 'transId': 313721188410, 'targetAsset': 'BNB'}]",HOME,0.49304406,0.00001296,0.00000025,BNB
1761022727000,0.00000353,0.00017728,313721188410,"[{'fromAsset': 'HOME', 'amount': '0.49304406', 'transferedAmount': '0.00001296', 'serviceChargeAmount': '0.00000025', 'operateTime': 1761022727000, 'transId': 313721188410, 'targetAsset': 'BNB'}, {'fromAsset': 'USDT', 'amount': '0.17452', 'transferedAmount': '0.00016418', 'serviceChargeAmount': '0.00000328', 'operateTime': 1761022727000, 'transId': 313721188410, 'targetAsset': 'BNB'}, {'fromAsset': 'USDC', 'amount': '0.00015465', 'transferedAmount': '0.00000014', 'serviceChargeAmount': '0', 'operateTime': 1761022727000, 'transId': 313721188410, 'targetAsset': 'BNB'}]",USDT,0.17452,0.00016418,0.00000328,BNB
1761022727000,0.00000353,0.00017728,313721188410,"[{'fromAsset': 'HOME', 'amount': '0.49304406', 'transferedAmount': '0.00001296', 'serviceChargeAmount': '0.00000025', 'operateTime': 1761022727000, 'transId': 313721188410, 'targetAsset': 'BNB'}, {'fromAsset': 'USDT', 'amount': '0.17452', 'transferedAmount': '0.00016418', 'serviceChargeAmount': '0.00000328', 'operateTime': 1761022727000, 'transId': 313721188410, 'targetAsset': 'BNB'}, {'fromAsset': 'USDC', 'amount': '0.00015465', 'transferedAmount': '0.00000014', 'serviceChargeAmount': '0', 'operateTime': 1761022727000, 'transId': 313721188410, 'targetAsset': 'BNB'}]",USDC,0.00015465,0.00000014,0,BNB
1766749909000,0,0.00000011,337884737918,"[{'fromAsset': 'USDT', 'amount': '0.00009649', 'transferedAmount': '0.00000011', 'serviceChargeAmount': '0', 'operateTime': 1766749909000, 'transId': 337884737918, 'targetAsset': 'BNB'}]",USDT,0.00009649,0.00000011,0,BNB
1733975160000,0.00000351,0.00017559,222948301027,"[{'fromAsset': 'WLD', 'amount': '0.0382', 'transferedAmount': '0.00017559', 'serviceChargeAmount': '0.00000351', 'operateTime': 1733975160000, 'transId': 222948301027, 'targetAsset': 'BNB'}]",WLD,0.0382,0.00017559,0.00000351,BNB
1735139788000,0.00000014,0.00000709,227781347317,"[{'fromAsset': 'AXL', 'amount': '0.00626', 'transferedAmount': '0.00000709', 'serviceChargeAmount': '0.00000014', 'operateTime': 1735139788000, 'transId': 227781347317, 'targetAsset': 'BNB'}]",AXL,0.00626,0.00000709,0.00000014,BNB
1727386236000,0.00000054,0.00002723,193707655961,"[{'fromAsset': 'BTC', 'amount': '0.00000025', 'transferedAmount': '0.00002723', 'serviceChargeAmount': '0.00000054', 'operateTime': 1727386236000, 'transId': 193707655961, 'targetAsset': 'BNB'}]",BTC,0.00000025,0.00002723,0.00000054,BNB
1725547004000,0.0000013,0.00006548,190557872792,"[{'fromAsset': 'TON', 'amount': '0.00112568', 'transferedAmount': '0.00001036', 'serviceChargeAmount': '0.0000002', 'operateTime': 1725547004000, 'transId': 190557872792, 'targetAsset': 'BNB'}, {'fromAsset': 'BONK', 'amount': '1668', 'transferedAmount': '0.00005512', 'serviceChargeAmount': '0.0000011', 'operateTime': 1725547004000, 'transId': 190557872792, 'targetAsset': 'BNB'}]",TON,0.00112568,0.00001036,0.0000002,BNB
1725547004000,0.0000013,0.00006548,190557872792,"[{'fromAsset': 'TON', 'amount': '0.00112568', 'transferedAmount': '0.00001036', 'serviceChargeAmount': '0.0000002', 'operateTime': 1725547004000, 'transId': 190557872792, 'targetAsset': 'BNB'}, {'fromAsset': 'BONK', 'amount': '1668', 'transferedAmount': '0.00005512', 'serviceChargeAmount': '0.0000011', 'operateTime': 1725547004000, 'transId': 190557872792, 'targetAsset': 'BNB'}]",BONK,1668,0.00005512,0.0000011,BNB
1733805016000,0.00002004,0.00100268,221967488033,"[{'fromAsset': 'ZEN', 'amount': '0.00749', 'transferedAmount': '0.00014833', 'serviceChargeAmount': '0.00000296', 'operateTime': 1733805016000, 'transId': 221967488033, 'targetAsset': 'BNB'}, {'fromAsset': 'BTC', 'amount': '0.00000608', 'transferedAmount': '0.00085435', 'serviceChargeAmount': '0.00001708', 'operateTime': 1733805016000, 'transId': 221967488033, 'targetAsset': 'BNB'}]",ZEN,0.00749,0.00014833,0.00000296,BNB
1733805016000,0.00002004,0.00100268,221967488033,"[{'fromAsset': 'ZEN', 'amount': '0.00749', 'transferedAmount': '0.00014833', 'serviceChargeAmount': '0.00000296', 'operateTime': 1733805016000, 'transId': 221967488033, 'targetAsset': 'BNB'}, {'fromAsset': 'BTC', 'amount': '0.00000608', 'transferedAmount': '0.00085435', 'serviceChargeAmount': '0.00001708', 'operateTime': 1733805016000, 'transId': 221967488033, 'targetAsset': 'BNB'}]",BTC,0.00000608,0.00085435,0.00001708,BNB
1733295158000,0.00000063,0.00003162,218965100293,"[{'fromAsset': 'GTC', 'amount': '0.0186', 'transferedAmount': '0.00003162', 'serviceChargeAmount': '0.00000063', 'operateTime': 1733295158000, 'transId': 218965100293, 'targetAsset': 'BNB'}]",GTC,0.0186,0.00003162,0.00000063,BNB
1727047811000,0.00002435,0.00121794,192935173592,"[{'fromAsset': 'ETH', 'amount': '0.0000902', 'transferedAmount': '0.00039589', 'serviceChargeAmount': '0.00000791', 'operateTime': 1727047811000, 'transId': 192935173592, 'targetAsset': 'BNB'}, {'fromAsset': 'BTC', 'amount': '0.0000076', 'transferedAmount': '0.00082205', 'serviceChargeAmount': '0.00001644', 'operateTime': 1727047811000, 'transId': 192935173592, 'targetAsset': 'BNB'}]",ETH,0.0000902,0.00039589,0.00000791,BNB
1727047811000,0.00002435,0.00121794,192935173592,"[{'fromAsset': 'ETH', 'amount': '0.0000902', 'transferedAmount': '0.00039589', 'serviceChargeAmount': '0.00000791', 'operateTime': 1727047811000, 'transId': 192935173592, 'targetAsset': 'BNB'}, {'fromAsset': 'BTC', 'amount': '0.0000076', 'transferedAmount': '0.00082205', 'serviceChargeAmount': '0.00001644', 'operateTime': 1727047811000, 'transId': 192935173592, 'targetAsset': 'BNB'}]",BTC,0.0000076,0.00082205,0.00001644,BNB
1767680621000,0.00000189,0.00009465,340411166014,"[{'fromAsset': 'USDC', 'amount': '0.08570702', 'transferedAmount': '0.00009465', 'serviceChargeAmount': '0.00000189', 'operateTime': 1767680621000, 'transId': 340411166014, 'targetAsset': 'BNB'}]",USDC,0.08570702,0.00009465,0.00000189,BNB
1735802010000,0.00000017,0.00000885,229548328247,"[{'fromAsset': 'AXL', 'amount': '0.00916', 'transferedAmount': '0.00000885', 'serviceChargeAmount': '0.00000017', 'operateTime': 1735802010000, 'transId': 229548328247, 'targetAsset': 'BNB'}]",AXL,0.00916,0.00000885,0.00000017,BNB
