asset,free,locked,date
BTC,0.00000000,0.00000000,2026-02-22
LTC,0.00000000,0.00000000,2026-02-22
ETH,0.00000000,0.00000000,2026-02-22
NEO,0.00000000,0.00000000,2026-02-22
BNB,0.00000000,0.00000000,2026-02-22
QTUM,0.00000000,0.00000000,2026-02-22
EOS,0.00000000,0.00000000,2026-02-22
SNT,0.00000000,0.00000000,2026-02-22
BNT,0.00000000,0.00000000,2026-02-22
GAS,0.00000000,0.00000000,2026-02-22
BCC,0.00000000,0.00000000,2026-02-22
USDT,0.00000000,0.00000000,2026-02-22
HSR,0.00000000,0.00000000,2026-02-22
OAX,0.00000000,0.00000000,2026-02-22
DNT,0.00000000,0.00000000,2026-02-22
MCO,0.00000000,0.00000000,2026-02-22
ICN,0.00000000,0.00000000,2026-02-22
ZRX,0.00000000,0.00000000,2026-02-22
OMG,0.00000000,0.00000000,2026-02-22
WTC,0.00000000,0.00000000,2026-02-22
YOYO,0.00000000,0.00000000,2026-02-22
LRC,0.00000000,0.00000000,2026-02-22
TRX,0.00000000,0.00000000,2026-02-22
SNGLS,0.00000000,0.00000000,2026-02-22
STRAT,0.00000000,0.00000000,2026-02-22
BQX,0.00000000,0.00000000,2026-02-22
FUN,0.00000000,0.00000000,2026-02-22
KNC,0.00000000,0.00000000,2026-02-22
CDT,0.00000000,0.00000000,2026-02-22
XVG,0.00000000,0.00000000,2026-02-22
IOTA,0.00000000,0.00000000,2026-02-22
SNM,0.00000000,0.00000000,2026-02-22
LINK,0.00000000,0.00000000,2026-02-22
CVC,0.00000000,0.00000000,2026-02-22
TNT,0.00000000,0.00000000,2026-02-22
REP,0.00000000,0.00000000,2026-02-22
MDA,0.00000000,0.00000000,2026-02-22
MTL,0.00000000,0.00000000,2026-02-22
SALT,0.00000000,0.00000000,2026-02-22
NULS,0.00000000,0.00000000,2026-02-22
SUB,0.00000000,0.00000000,2026-02-22
STX,0.00000000,0.00000000,2026-02-22
MTH,0.00000000,0.00000000,2026-02-22
ADX,0.00000000,0.00000000,2026-02-22
ETC,0.00000000,0.00000000,2026-02-22
ENG,0.00000000,0.00000000,2026-02-22
ZEC,0.00000000,0.00000000,2026-02-22
AST,0.00000000,0.00000000,2026-02-22
GNT,0.00000000,0.00000000,2026-02-22
DGD,0.00000000,0.00000000,2026-02-22
BAT,0.00000000,0.00000000,2026-02-22
DASH,0.00000000,0.00000000,2026-02-22
POWR,0.00000000,0.00000000,2026-02-22
BTG,0.00000000,0.00000000,2026-02-22
REQ,0.00000000,0.00000000,2026-02-22
XMR,0.00000000,0.00000000,2026-02-22
EVX,0.00000000,0.00000000,2026-02-22
VIB,0.00000000,0.00000000,2026-02-22
ENJ,0.00000000,0.00000000,2026-02-22
VEN,0.00000000,0.00000000,2026-02-22
ARK,0.00000000,0.00000000,2026-02-22
XRP,0.00000000,0.00000000,2026-02-22
MOD,0.00000000,0.00000000,2026-02-22
STORJ,0.00000000,0.00000000,2026-02-22
KMD,0.00000000,0.00000000,2026-02-22
RCN,0.00000000,0.00000000,2026-02-22
EDO,0.00000000,0.00000000,2026-02-22
DATA,0.00000000,0.00000000,2026-02-22
DLT,0.00000000,0.00000000,2026-02-22
MANA,0.00000000,0.00000000,2026-02-22
PPT,0.00000000,0.00000000,2026-02-22
RDN,0.00000000,0.00000000,2026-02-22
GXS,0.00000000,0.00000000,2026-02-22
AMB,0.00000000,0.00000000,2026-02-22
ARN,0.00000000,0.00000000,2026-02-22
BCPT,0.00000000,0.00000000,2026-02-22
CND,0.00000000,0.00000000,2026-02-22
GVT,0.00000000,0.00000000,2026-02-22
POE,0.00000000,0.00000000,2026-02-22
BTS,0.00000000,0.00000000,2026-02-22
FUEL,0.00000000,0.00000000,2026-02-22
XZC,0.00000000,0.00000000,2026-02-22
QSP,0.00000000,0.00000000,2026-02-22
LSK,0.00000000,0.00000000,2026-02-22
BCD,0.00000000,0.00000000,2026-02-22
TNB,0.00000000,0.00000000,2026-02-22
ADA,0.00000000,0.00000000,2026-02-22
LEND,0.00000000,0.00000000,2026-02-22
XLM,0.00000000,0.00000000,2026-02-22
CMT,0.00000000,0.00000000,2026-02-22
WAVES,0.00000000,0.00000000,2026-02-22
WABI,0.00000000,0.00000000,2026-02-22
GTO,0.00000000,0.00000000,2026-02-22
ICX,0.00000000,0.00000000,2026-02-22
OST,0.00000000,0.00000000,2026-02-22
ELF,0.00000000,0.00000000,2026-02-22
AION,0.00000000,0.00000000,2026-02-22
WINGS,0.00000000,0.00000000,2026-02-22
BRD,0.00000000,0.00000000,2026-02-22
NEBL,0.00000000,0.00000000,2026-02-22
NAV,0.00000000,0.00000000,2026-02-22
VIBE,0.00000000,0.00000000,2026-02-22
LUN,0.00000000,0.00000000,2026-02-22
TRIG,0.00000000,0.00000000,2026-02-22
APPC,0.00000000,0.00000000,2026-02-22
CHAT,0.00000000,0.00000000,2026-02-22
RLC,0.00000000,0.00000000,2026-02-22
INS,0.00000000,0.00000000,2026-02-22
PIVX,0.00000000,0.00000000,2026-02-22
IOST,0.00000000,0.00000000,2026-02-22
STEEM,0.00000000,0.00000000,2026-02-22
NANO,0.00000000,0.00000000,2026-02-22
AE,0.00000000,0.00000000,2026-02-22
VIA,0.00000000,0.00000000,2026-02-22
BLZ,0.00000000,0.00000000,2026-02-22
SYS,0.00000000,0.00000000,2026-02-22
RPX,0.00000000,0.00000000,2026-02-22
NCASH,0.00000000,0.00000000,2026-02-22
POA,0.00000000,0.00000000,2026-02-22
ONT,0.00000000,0.00000000,2026-02-22
ZIL,0.00000000,0.00000000,2026-02-22
STORM,0.00000000,0.00000000,2026-02-22
XEM,0.00000000,0.00000000,2026-02-22
WAN,0.00000000,0.00000000,2026-02-22
WPR,0.00000000,0.00000000,2026-02-22
QLC,0.00000000,0.00000000,2026-02-22
GRS,0.00000000,0.00000000,2026-02-22
CLOAK,0.00000000,0.00000000,2026-02-22
LOOM,0.00000000,0.00000000,2026-02-22
BCN,0.00000000,0.00000000,2026-02-22
TUSD,0.00000000,0.00000000,2026-02-22
ZEN,0.00000000,0.00000000,2026-02-22
SKYCOIN,0.00000000,0.00000000,2026-02-22
THETA,0.00000000,0.00000000,2026-02-22
IOTX,0.00000000,0.00000000,2026-02-22
QKC,0.00000000,0.00000000,2026-02-22
